"gene_name","Human Gene ID","HGNCID","Human Symbol"," Species","Mouse GeneID","MGIID","Mouse_Symbol","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From"
"COL1A2","1278","2198","COL1A2","Mouse","12832","88458","Col5a2","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COL1A2","1278","2198","COL1A2","Mouse","12825","88453","Col3a1","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COL1A2","1278","2198","COL1A2","Mouse","12824","88452","Col2a1","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COL4A1","1282","2202","COL4A1","Mouse","12826","88454","Col4a1","14","14.4","high","Yes","Yes","Compara, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"COL4A1","1282","2202","COL4A1","Mouse","12827","88455","Col4a2","3","2.94","low","No","No","OrthoDB, orthoMCL, RoundUp"
"COL4A1","1282","2202","COL4A1","Mouse","12830","88456","Col4a5","3","2.91","low","No","No","OrthoDB, OrthoFinder, orthoMCL"
"COL4A1","1282","2202","COL4A1","Mouse","12829","104687","Col4a4","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COL4A1","1282","2202","COL4A1","Mouse","12828","104688","Col4a3","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COL5A1","1289","2209","COL5A1","Mouse","12831","88457","Col5a1","14","14.4","high","Yes","Yes","Compara, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"COL5A1","1289","2209","COL5A1","Mouse","12814","88446","Col11a1","3","2.91","low","No","No","OrthoDB, OrthoFinder, orthoMCL"
"COL5A1","1289","2209","COL5A1","Mouse","12815","88447","Col11a2","3","2.91","low","No","No","OrthoDB, OrthoFinder, orthoMCL"
"COL5A2","1290","2210","COL5A2","Mouse","12832","88458","Col5a2","14","14.4","high","Yes","Yes","Compara, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"COL5A2","1290","2210","COL5A2","Mouse","12843","88468","Col1a2","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COL5A2","1290","2210","COL5A2","Mouse","12825","88453","Col3a1","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COL5A2","1290","2210","COL5A2","Mouse","12824","88452","Col2a1","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COL6A2","1292","2212","COL6A2","Mouse","12834","88460","Col6a2","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"COL8A1","1295","2215","COL8A1","Mouse","12837","88463","Col8a1","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"COL8A1","1295","2215","COL8A1","Mouse","12813","88445","Col10a1","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COL8A1","1295","2215","COL8A1","Mouse","329941","88464","Col8a2","2","1.91","low","No","No","OrthoDB, orthoMCL"
"COMMD6","170622","24015","COMMD6","Mouse","66200","1913450","Commd6","11","11.43","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp"
"COPZ2","51226","19356","COPZ2","Mouse","56358","1929008","Copz2","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"COPZ2","51226","19356","COPZ2","Mouse","56447","1929063","Copz1","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"CORO1B","57175","2253","CORO1B","Mouse","23789","1345963","Coro1b","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CORO1B","57175","2253","CORO1B","Mouse","216961","2183448","Coro6","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"CORO1B","57175","2253","CORO1B","Mouse","12721","1345961","Coro1a","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"CORO1B","57175","2253","CORO1B","Mouse","235431","2444283","Coro2b","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"CORO1B","57175","2253","CORO1B","Mouse","23790","1345964","Coro1c","4","3.83","moderate","No","No","eggNOG, OrthoFinder, orthoMCL, RoundUp"
"CORO1B","57175","2253","CORO1B","Mouse","107684","1345966","Coro2a","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"COTL1","23406","18304","COTL1","Mouse","72042","1919292","Cotl1","13","13.26","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"COX5B","1329","2269","COX5B","Mouse","12859","88475","Cox5b","11","11.38","high","Yes","Yes","Compara, eggNOG, HGNC, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam"
"COX5B","1329","2269","COX5B","Mouse","102641600","-","LOC102641600","6","5.96","moderate","No","Yes","Hieranoid, OMA, OrthoDB, OrthoInspector, Phylome, RoundUp"
"CREG1","8804","2351","CREG1","Mouse","433375","1344382","Creg1","13","13.26","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"CREG1","8804","2351","CREG1","Mouse","263764","1928333","Creg2","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"CRLF1","9244","2364","CRLF1","Mouse","12931","1340030","Crlf1","13","13.26","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"CSK","1445","2444","CSK","Mouse","12988","88537","Csk","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CSNK2A1","1457","2457","CSNK2A1","Mouse","12995","88543","Csnk2a1","14","14.37","high","Yes","Yes","eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CSNK2A1","1457","2457","CSNK2A1","Mouse","13000","88547","Csnk2a2","5","4.88","moderate","No","No","eggNOG, Inparanoid, OrthoFinder, orthoMCL, RoundUp"
"CSRP2","1466","2470","CSRP2","Mouse","13008","1202907","Csrp2","12","12.38","high","Yes","Yes","Compara, HGNC, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CSRP2","1466","2470","CSRP2","Mouse","13007","88549","Csrp1","2","1.9","low","No","No","OrthoFinder, orthoMCL"
"CSRP2","1466","2470","CSRP2","Mouse","13009","1330824","Csrp3","2","1.9","low","No","No","OrthoFinder, orthoMCL"
"CTHRC1","115908","18831","CTHRC1","Mouse","68588","1915838","Cthrc1","13","13.26","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"CTSA","5476","9251","CTSA","Mouse","19025","97748","Ctsa","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CTSA","5476","9251","CTSA","Mouse","71287","1918537","Cpvl","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
"CTXN1","404217","31108","CTXN1","Mouse","330695","88566","Ctxn1","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CUL3","8452","2553","CUL3","Mouse","26554","1347360","Cul3","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CUL3","8452","2553","CUL3","Mouse","99375","1914487","Cul4a","3","2.91","low","No","No","eggNOG, OrthoDB, OrthoFinder"
"CUL3","8452","2553","CUL3","Mouse","72584","1919834","Cul4b","2","1.91","low","No","No","eggNOG, OrthoDB"
"CUL4A","8451","2554","CUL4A","Mouse","99375","1914487","Cul4a","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CUL4A","8451","2554","CUL4A","Mouse","72584","1919834","Cul4b","4","3.84","moderate","No","No","eggNOG, OrthoDB, orthoMCL, RoundUp"
"CUL4A","8451","2554","CUL4A","Mouse","26554","1347360","Cul3","2","1.9","low","No","No","eggNOG, OrthoFinder"
"CXCL16","58191","16642","CXCL16","Mouse","66102","1932682","Cxcl16","14","14.21","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"CYB5R2","51700","24376","CYB5R2","Mouse","320635","2444415","Cyb5r2","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CYB5R2","51700","24376","CYB5R2","Mouse","72017","1919267","Cyb5r1","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"CYB5R2","51700","24376","CYB5R2","Mouse","109754","94893","Cyb5r3","4","3.83","moderate","No","No","eggNOG, OrthoFinder, orthoMCL, RoundUp"
"CYGB","114757","16505","CYGB","Mouse","114886","2149481","Cygb","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CYGB","114757","16505","CYGB","Mouse","15132","96024","Hbb-bh1","2","1.9","low","No","No","eggNOG, OrthoFinder"
"CYGB","114757","16505","CYGB","Mouse","100503605","5474852","Hbb-bs","2","1.9","low","No","No","eggNOG, OrthoFinder"
"CYGB","114757","16505","CYGB","Mouse","15135","96027","Hbb-y","2","1.9","low","No","No","eggNOG, OrthoFinder"
"CYGB","114757","16505","CYGB","Mouse","15129","96021","Hbb-b1","2","1.9","low","No","No","eggNOG, OrthoFinder"
"CYR61","3491","2654","CYR61","Mouse","16007","88613","Cyr61","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"CYR61","3491","2654","CYR61","Mouse","18133","109185","Nov","2","2.01","low","No","No","OrthoDB, OrthoFinder"
"CYR61","3491","2654","CYR61","Mouse","22403","1328326","Wisp2","2","2.01","low","No","No","OrthoDB, OrthoFinder"
"CYR61","3491","2654","CYR61","Mouse","327743","2685581","Wisp3","2","2.01","low","No","No","OrthoDB, OrthoFinder"
"CYR61","3491","2654","CYR61","Mouse","14219","95537","Ctgf","2","2.01","low","No","No","OrthoDB, OrthoFinder"
"DACT3","147906","30745","DACT3","Mouse","629378","3654828","Dact3","13","13.26","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"DBF4B","80174","17883","DBF4B","Mouse","27214","1351328","Dbf4","4","3.88","moderate","Yes","No","eggNOG, Isobase, OrthoFinder, RoundUp"
"DBN1","1627","2695","DBN1","Mouse","56320","1931838","Dbn1","14","14.27","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"DCBLD2","131566","24627","DCBLD2","Mouse","73379","1920629","Dcbld2","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DCHS1","8642","13681","DCHS1","Mouse","233651","2685011","Dchs1","13","13.39","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam"
"DCHS1","8642","13681","DCHS1","Mouse","245827","2685369","Fat2","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"DCHS1","8642","13681","DCHS1","Mouse","270120","2444314","Fat3","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"DCHS1","8642","13681","DCHS1","Mouse","14107","109168","Fat1","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"DCHS1","8642","13681","DCHS1","Mouse","329628","3045256","Fat4","2","1.91","low","No","No","OrthoDB, orthoMCL"
"DCHS1","8642","13681","DCHS1","Mouse","22295","1890219","Cdh23","2","1.8","low","No","No","eggNOG, orthoMCL"
"DCLRE1B","64858","17641","DCLRE1B","Mouse","140917","2156057","Dclre1b","14","14.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DCLRE1B","64858","17641","DCLRE1B","Mouse","55947","1930042","Dclre1a","2","1.93","low","No","No","eggNOG, RoundUp"
"DCLRE1B","64858","17641","DCLRE1B","Mouse","227525","2441769","Dclre1c","2","1.9","low","No","No","eggNOG, OrthoFinder"
"DCP1A","55802","18714","DCP1A","Mouse","75901","1923151","Dcp1a","12","12.43","high","Yes","Yes","Compara, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp"
"DCP1A","55802","18714","DCP1A","Mouse","319618","2442404","Dcp1b","3","3.04","low","No","No","OrthoDB, OrthoFinder, RoundUp"
"DCTN6","10671","16964","DCTN6","Mouse","22428","1343154","Dctn6","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DDAH1","23576","2715","DDAH1","Mouse","69219","1916469","Ddah1","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DDAH1","23576","2715","DDAH1","Mouse","51793","1859016","Ddah2","2","2.03","low","No","No","OrthoFinder, RoundUp"
"DDR1","780","2730","DDR1","Mouse","12305","99216","Ddr1","11","11.32","high","Yes","Yes","eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"DDR1","780","2730","DDR1","Mouse","18214","1345277","Ddr2","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"DDT","1652","2732","DDT","Mouse","13202","1298381","Ddt","12","12.42","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, Panther, RoundUp, TreeFam"
"DDX56","54606","18193","DDX56","Mouse","52513","1277172","Ddx56","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DEK","7913","2768","DEK","Mouse","110052","1926209","Dek","13","13.26","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"DERL2","51009","17943","DERL2","Mouse","116891","2151483","Derl2","15","15.3","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DERL2","51009","17943","DERL2","Mouse","67819","1915069","Derl1","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
"DERL2","51009","17943","DERL2","Mouse","70377","1917627","Derl3","4","3.83","moderate","No","No","eggNOG, OrthoFinder, orthoMCL, RoundUp"
"DHRS3","9249","17693","DHRS3","Mouse","20148","1315215","Dhrs3","14","14.4","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam"
"DHRS3","9249","17693","DHRS3","Mouse","243168","2140804","Hsd17b13","2","1.91","low","No","No","eggNOG, OrthoDB"
"DHRS3","9249","17693","DHRS3","Mouse","114664","2149821","Hsd17b11","2","1.91","low","No","No","eggNOG, OrthoDB"
"DHRS3","9249","17693","DHRS3","Mouse","242286","2685269","Sdr16c6","2","1.91","low","No","No","eggNOG, OrthoDB"
"DHRS3","9249","17693","DHRS3","Mouse","242285","2668443","Sdr16c5","2","1.91","low","No","No","eggNOG, OrthoDB"
"DHRS3","9249","17693","DHRS3","Mouse","98711","1924238","Rdh10","2","1.91","low","No","No","eggNOG, OrthoDB"
"DIRAS1","148252","19127","DIRAS1","Mouse","208666","2183442","Diras1","13","13.37","high","Yes","Yes","Compara, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, TreeFam"
"DIRAS1","148252","19127","DIRAS1","Mouse","68203","1915453","Diras2","4","3.94","moderate","No","No","OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"DIRAS1","148252","19127","DIRAS1","Mouse","212539","2685112","Gm266","2","1.91","moderate","No","Yes","Isobase, TreeFam"
"DKK3","27122","2893","DKK3","Mouse","50781","1354952","Dkk3","13","13.39","high","Yes","Yes","Compara, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DLC1","10395","2897","DLC1","Mouse","50768","1354949","Dlc1","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DLC1","10395","2897","DLC1","Mouse","243362","2385331","Stard13","3","2.83","low","No","No","eggNOG, orthoMCL, RoundUp"
"DLC1","10395","2897","DLC1","Mouse","236920","2448556","Stard8","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL"
"DLGAP1-AS1","649446","31676","DLGAP1-AS1","","","","","0","0","None","","",""
"DNAAF3","352909","30492","DNAAF3","Mouse","436022","3588207","Dnaaf3","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DNAJA1","3301","5229","DNAJA1","Mouse","15502","1270129","Dnaja1","15","15.32","high","Yes","Yes","eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DNAJA1","3301","5229","DNAJA1","Mouse","56445","1931882","Dnaja2","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"DNAJA1","3301","5229","DNAJA1","Mouse","58233","1927638","Dnaja4","4","3.84","moderate","No","No","eggNOG, OrthoDB, orthoMCL, RoundUp"
"DNAJB5","25822","14887","DNAJB5","Mouse","56323","1930018","Dnajb5","12","12.38","high","Yes","Yes","Compara, eggNOG, HGNC, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam"
"DNAJB5","25822","14887","DNAJB5","Mouse","67035","1914285","Dnajb4","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"DNAJB5","25822","14887","DNAJB5","Mouse","81489","1931874","Dnajb1","4","3.83","moderate","No","No","eggNOG, OrthoFinder, orthoMCL, RoundUp"
"DNAJB5","25822","14887","DNAJB5","Mouse","69387","1916637","Dnajb13","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"DNAJC19","131118","30528","DNAJC19","Mouse","67713","1914963","Dnajc19","10","10.41","high","Yes","Yes","eggNOG, HGNC, Homologene, OMA, OrthoDB, OrthoFinder, orthoMCL, Panther, RoundUp, TreeFam"
"DNAJC19","131118","30528","DNAJC19","Mouse","100503724","3709029","Dnajc19-ps","8","8","moderate","No","Yes","Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, Phylome, RoundUp"
"DNAJC19","131118","30528","DNAJC19","Mouse","66148","1913398","Dnajc15","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"DOCK1","1793","2987","DOCK1","Mouse","330662","2429765","Dock1","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DOCK1","1793","2987","DOCK1","Mouse","238130","1918006","Dock4","4","3.83","moderate","No","No","eggNOG, OrthoFinder, orthoMCL, RoundUp"
"DOCK1","1793","2987","DOCK1","Mouse","208869","2429763","Dock3","4","3.83","moderate","No","No","eggNOG, OrthoFinder, orthoMCL, RoundUp"
"DOCK1","1793","2987","DOCK1","Mouse","68813","2652871","Dock5","3","2.8","low","No","No","eggNOG, OrthoFinder, orthoMCL"
"DOCK1","1793","2987","DOCK1","Mouse","94176","2149010","Dock2","3","2.8","low","No","No","eggNOG, OrthoFinder, orthoMCL"
"DOCK2","1794","2988","DOCK2","Mouse","94176","2149010","Dock2","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DOCK2","1794","2988","DOCK2","Mouse","238130","1918006","Dock4","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"DOCK2","1794","2988","DOCK2","Mouse","68813","2652871","Dock5","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"DOCK2","1794","2988","DOCK2","Mouse","208869","2429763","Dock3","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"DOCK2","1794","2988","DOCK2","Mouse","330662","2429765","Dock1","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"DOCK7","85440","19190","DOCK7","Mouse","67299","1914549","Dock7","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DOCK7","85440","19190","DOCK7","Mouse","76088","1921396","Dock8","5","4.84","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL, RoundUp"
"DOCK7","85440","19190","DOCK7","Mouse","319899","1914789","Dock6","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL"
"DOCK7","85440","19190","DOCK7","Mouse","105445","106321","Dock9","2","1.8","low","No","No","eggNOG, orthoMCL"
"DOCK7","85440","19190","DOCK7","Mouse","75974","1923224","Dock11","2","1.8","low","No","No","eggNOG, orthoMCL"
"DOT1L","84444","24948","DOT1L","Mouse","208266","2143886","Dot1l","14","14.23","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DPH2","1802","3004","DPH2","Mouse","67728","1914978","Dph2","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DPP4","1803","3009","DPP4","Mouse","13482","94919","Dpp4","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DPP4","1803","3009","DPP4","Mouse","269109","2442409","Dpp10","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
"DPP4","1803","3009","DPP4","Mouse","13483","94921","Dpp6","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
"DPP4","1803","3009","DPP4","Mouse","14089","109608","Fap","4","3.83","moderate","No","No","eggNOG, OrthoFinder, orthoMCL, RoundUp"
"DSE","29940","21144","DSE","Mouse","212898","2443455","Dse","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DSTN","11034","15750","DSTN","Mouse","56431","1929270","Dstn","14","14.29","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DSTN","11034","15750","DSTN","Mouse","12632","101763","Cfl2","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
"DSTN","11034","15750","DSTN","Mouse","12631","101757","Cfl1","3","2.93","low","No","No","eggNOG, OrthoFinder, RoundUp"
"DTL","51514","30288","DTL","Mouse","76843","1924093","Dtl","15","15.24","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DUSP14","11072","17007","DUSP14","Mouse","56405","1927168","Dusp14","16","16.25","high","Yes","Yes","Compara, eggNOG, HGNC, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam"
"DUSP14","11072","17007","DUSP14","Mouse","75219","1922469","Dusp18","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
"DUSP14","11072","17007","DUSP14","Mouse","73547","1920797","Dusp21","4","3.94","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, RoundUp"
